mesa registrados votaron pro eco blanco impugnado nulo recurrido tecnico
369 348 211 50.24 45.89 3.86 0.48 1.45 0 0
370 348 206 49.51 44.17 6.31 0 0 0 0
371 345 207 51.71 42.44 5.85 0 0.98 0 0
372 346 204 53 42.5 4.5 0.5 1.5 0 0
373 344 183 49.45 46.7 3.85 0.55 0 0 0
374 347 210 52.63 42.11 5.26 0 0.48 0 0
375 345 204 50.98 40.2 8.82 0 0 0 0
376 346 193 54.21 37.37 8.42 0 1.58 0 0
377 345 211 56.52 41.06 2.42 0 1.93 0 0
378 346 197 55.61 40.82 3.57 0.51 0 0 0
379 344 206 55.61 40 4.39 0 0.49 0 0
380 347 185 48.09 46.45 5.46 0 1.09 0 0
381 343 200 47.72 46.7 5.58 0 1.52 0 0
382 340 191 47.59 49.2 3.21 0 2.14 0 0
383 342 202 38.5 53.5 8 0 1 0 0
384 338 206 34.95 56.31 8.74 0 0 0 0
385 339 216 47.44 45.58 6.98 0.47 0 0 0
386 338 190 45.74 47.87 6.38 1.06 0 0 0
387 336 197 39.29 56.63 4.08 0 0.51 0 0
388 341 208 44.66 50.97 4.37 0 0.97 0 0
389 342 200 37.19 57.29 5.53 0 0.5 0 0
390 339 203 45.32 48.28 6.4 0 0 0 0
391 337 211 43 48.79 8.21 0 1.45 0 0.48
392 340 199 35.2 58.67 6.12 0 1.53 0 0
393 338 194 41.45 53.89 4.66 0 0.52 0 0
394 339 211 32.84 60.78 6.37 0 3.43 0 0
395 339 201 34.5 60.5 5 0 0.5 0 0
396 338 200 41.54 50.26 8.21 0 2.56 0 0
397 341 199 47.4 46.35 6.25 0 3.65 0 0
398 338 198 43.81 51.55 4.64 0 1.03 0 1.03
399 338 193 38.22 56.02 5.76 0 1.05 0 0
400 341 223 41.74 47.71 10.55 0 2.29 0 0
401 338 187 36.22 57.3 6.49 0 1.08 0 0
402 340 190 43.92 51.32 4.76 0 0 0 0.53
403 342 204 33.83 58.71 7.46 0 1 0 0.5
404 336 195 37.63 57.73 4.64 0 0.52 0 0
405 337 205 42.56 47.18 10.26 0 5.13 0 0
406 335 197 45.88 47.94 6.19 0 1.55 0 0
407 333 197 43.52 49.22 7.25 0.52 1.55 0 0
408 348 237 45.02 48.05 6.93 0 2.6 0 0
409 347 205 49.27 45.85 4.88 0 0 0 0
410 349 207 38.12 54.95 6.93 0 2.48 0 0
411 348 218 43.26 46.98 9.77 0 1.4 0 0
412 350 211 45.93 47.85 6.22 0 0.96 0 0
413 349 221 50.46 40.83 8.72 0 1.38 0 0
414 346 215 48.31 43.96 7.73 0 3.86 0 0
415 350 223 42.34 52.7 4.95 0 0.45 0 0
416 344 213 49.29 42.65 8.06 0 0.95 0 0
417 346 215 46.92 47.87 5.21 0 1.9 0 0
418 350 213 46.7 46.7 6.6 0 0.47 0 0
419 348 215 50.71 43.13 6.16 0 1.9 0 0
420 346 213 41.23 56.4 2.37 0 0.95 0 0
421 347 217 45.12 49.3 5.58 0 0.93 0 0
422 348 215 45.28 50.94 3.77 0 1.42 0 0
423 347 211 51.21 41.06 7.73 0 1.93 0 0
424 347 210 43.69 50.49 5.83 0 1.46 0.49 0
425 347 206 43.69 51.94 4.37 0 0 0 0
426 345 210 47.37 50.24 2.39 0 0.48 0 0
427 347 226 45.29 50.22 4.48 0 1.35 0 0
428 345 212 46.89 49.76 3.35 0 1.44 0 0
429 346 195 47.18 49.74 3.08 0 0 0 0
430 346 229 39.82 51.33 8.85 0 1.33 0 0
431 350 212 51.89 42.45 5.66 0 0 0 0
432 348 224 45.5 50 4.5 0 0.9 0 0
433 350 216 39.91 56.34 3.76 0 1.41 0 0
434 346 222 42.59 50.93 6.48 0 2.78 0 0
435 346 229 42.73 49.78 7.49 0 0.88 0 0
436 349 218 47.93 46.08 5.99 0 0.46 0 0
437 347 225 43.69 48.65 7.66 0 1.35 0 0
438 349 220 49.31 47.93 2.76 0 1.38 0 0
439 348 223 45.95 48.2 5.86 0.45 0 0 0
440 350 238 35.74 58.72 5.53 0 1.28 0 0
441 351 221 49.54 44.44 6.02 0 2.31 0 0
442 349 233 43.67 47.6 8.73 0 1.75 0 0
443 348 216 43.93 49.53 6.54 0.93 0 0 0
444 349 224 49.08 46.33 4.59 0 2.75 0 0
445 349 235 42.42 51.95 5.63 0 1.73 0 0
446 347 221 49.77 44.65 5.58 0 2.79 0 0
447 349 219 43.84 51.6 4.57 0 0 0 0
448 352 214 44.81 48.11 7.08 0 0.94 0 0
449 345 219 45.87 48.17 5.96 0 0.46 0 0
450 348 230 37.28 52.63 10.09 0.44 0.44 0 0
451 349 232 47.11 50.67 2.22 0 3.11 0 0
452 345 221 39.17 47.47 13.36 0 1.84 0 0
453 346 230 42.79 50.66 6.55 0.44 0 0 0
454 347 228 43.36 50.88 5.75 0 0.88 0 0
455 351 232 37.72 54.39 7.89 0 1.75 0 0
456 350 231 46.29 50.22 3.49 0 0.87 0 0
457 348 226 41.89 47.75 10.36 0 1.8 0 0
458 349 234 46.75 45.89 7.36 0 1.3 0 0
459 350 212 45.5 51.18 3.32 0 0.47 0 0
460 347 205 52.22 44.33 3.45 0 0.99 0 0
461 350 237 43.16 49.57 7.26 0 1.28 0 0
462 348 231 45.89 46.75 7.36 0 0 0 0
463 350 198 43.15 48.22 8.63 0 0.51 0 0
464 346 236 48.26 45.65 6.09 0 2.61 0 0
465 349 220 56.22 37.33 6.45 0 1.38 0 0
466 349 224 38.74 56.76 4.5 0 0.9 0 0
467 348 204 44.5 50 5.5 0 2 0 0
468 348 193 41.88 51.31 6.81 1.05 0 0 0
469 349 209 43.27 53.37 3.37 0 0.48 0 0
470 347 208 41.18 54.41 4.41 0 1.96 0 0
471 345 213 44.98 48.33 6.7 0 1.91 0 0
472 347 216 52.09 44.19 3.72 0 0.47 0 0
473 346 207 50.72 43 6.28 0 0 0 0
474 345 210 41.55 53.14 5.31 0 1.45 0 0
475 346 211 51.43 41.9 6.67 0.48 0 0 0
476 348 201 53.06 42.86 4.08 0 2.55 0 0
477 345 208 48.54 47.09 4.37 0 0.97 0 0
478 346 211 36.49 54.98 8.53 0 0 0 0
479 347 213 45.45 48.8 5.74 0 1.91 0 0
480 343 214 47.17 43.87 8.96 0 0.94 0 0
481 346 204 46.57 49.51 3.92 0 0 0 0
482 345 202 45.77 46.77 7.46 0 0.5 0 0
483 344 208 51.69 43.48 4.83 0 0.48 0 0
484 345 216 50.47 42.06 7.48 0 0.93 0 0
485 344 229 50.66 44.49 4.85 0 0.88 0 0
486 346 201 45.5 47 7.5 0 0.5 0 0
487 348 214 41.04 51.42 7.55 0 0.94 0 0
488 347 216 47.91 46.05 6.05 0 0.47 0 0
489 345 226 39.29 51.34 9.38 0 0.89 0 0
490 346 220 44.95 48.62 6.42 0 0.92 0 0
491 347 213 46.95 47.42 5.63 0 0 0 0
492 346 219 50.69 43.78 5.53 0 0.92 0 0
493 344 220 37.33 53 9.68 0 1.38 0 0
494 349 221 47.47 49.77 2.76 0 1.84 0 0
495 346 205 46.34 47.32 6.34 0 0 0 0
496 348 207 50.97 47.09 1.94 0 0.49 0 0
497 345 197 42.49 52.33 5.18 0 2.07 0 0
498 343 234 43.04 53.48 3.48 0 1.74 0 0
499 346 213 52.61 40.28 7.11 0 0.95 0 0
500 347 212 43.4 50.47 6.13 0 0 0 0
501 347 220 48.17 46.33 5.5 0 0.92 0 0
502 343 191 42.86 51.32 5.82 0 1.06 0 0
