comuna,mesa,sum(registrados),sum(votaron),sum(pro),sum(eco),sum(blanco),sum(impugnado),sum(nulo),sum(recurrido),sum(tecnico)
5,2327,4493,3133,1297,1637,164,2,31,0,2
5,2340,3110,2223,904,1147,149,0,23,0,0
5,2349,3105,2216,892,1162,139,0,23,0,0
5,2358,3113,2183,907,1137,114,2,22,0,1
5,2367,1385,991,413,490,73,0,15,0,0
5,2371,2075,1443,583,755,85,1,19,0,0
5,2377,3440,2383,982,1233,148,0,19,1,0
6,2387,5606,4059,1737,2054,223,0,40,1,4
6,2403,4192,3039,1302,1576,142,1,17,1,0
6,2415,2441,1779,760,900,109,0,10,0,0
6,2422,2100,1516,651,784,71,1,8,1,0
6,2428,2104,1528,621,812,78,0,16,1,0
6,2434,2104,1557,620,831,95,0,11,0,0
6,2440,1399,999,430,498,61,0,10,0,0
6,2444,5159,3696,1845,1658,164,1,28,0,0
6,2458,3840,2844,1418,1276,133,0,16,0,1
6,2469,3838,2829,1403,1276,128,0,19,0,3
6,2480,3834,2773,1388,1240,116,0,25,1,3
6,2491,5585,4150,2015,1922,182,1,30,0,0
6,2507,5218,3758,1818,1717,191,0,32,0,0
6,2522,2084,1504,688,726,80,0,9,0,1
6,2528,8055,5869,2545,2928,334,0,60,0,2
6,2551,3154,2343,1017,1152,136,2,28,0,8
6,2560,8713,6478,3056,3028,340,0,48,0,6
6,2563,3157,2311,967,1190,132,1,17,0,4
6,2572,1399,1020,448,500,61,1,8,0,2
6,2576,2802,2036,909,990,113,6,15,1,2
6,2584,1400,1023,431,516,64,0,12,0,0
6,2588,4910,3559,1512,1797,222,0,27,0,1
6,2624,5232,3826,1778,1827,186,0,32,1,2
6,2639,4871,3471,1666,1609,178,1,17,0,0
6,2653,5569,4072,1963,1888,181,0,40,0,0
6,2669,3831,2809,1294,1333,154,0,24,0,4
6,2680,3813,2743,1298,1283,130,0,31,1,0
6,2691,3823,2792,1203,1395,164,0,30,0,0
6,2702,5534,4011,1592,2131,227,0,56,0,5
6,2718,2424,1787,752,924,90,0,19,1,1
6,2725,1729,1263,520,665,67,0,11,0,0
6,2730,3448,2578,1079,1322,152,0,20,3,2
6,2740,4125,3105,1281,1596,189,4,34,0,1
6,2752,4821,3505,1434,1810,210,0,48,0,3
6,2766,3104,2257,975,1126,131,0,24,0,1
6,2775,1721,1243,512,651,73,0,7,0,0
6,2780,5215,3844,1860,1769,185,0,30,0,0
6,2795,4860,3543,1772,1587,150,0,28,0,6
6,2809,3140,2302,1146,1044,96,0,13,2,1
6,2818,2359,1661,798,787,62,0,14,0,0
6,2824,5907,4325,2158,1961,171,0,33,0,2
6,2841,2433,1814,894,833,77,1,8,0,1
7,2848,4196,3069,1319,1542,170,0,35,1,2
7,2860,2789,2051,949,970,104,1,27,0,0
7,2868,3829,2843,1286,1372,161,0,21,3,0
7,2877,2077,1555,652,799,80,0,18,2,4
7,2883,4149,3103,1398,1519,158,2,22,0,4
7,2895,1727,1295,574,645,60,2,13,0,1
7,2900,5180,3860,1648,1970,205,0,34,0,3
7,2915,2762,2101,922,1049,105,0,24,0,1
7,2923,4117,2964,1258,1496,172,2,35,0,1
7,2935,2398,1713,709,866,120,0,17,0,1
7,2942,2058,1481,633,755,69,0,22,0,2
7,2948,2395,1733,748,862,109,0,14,0,0
7,2955,2399,1752,706,920,113,2,11,0,0
7,2962,3449,2486,1107,1202,149,3,24,0,1
7,2972,3113,2223,981,1097,124,0,21,0,0
7,2981,3450,2443,1057,1217,141,3,21,0,4
7,2993,7335,4699,2231,2207,221,0,37,2,1
7,3013,1402,775,349,376,41,0,9,0,0
7,3016,2448,1587,714,767,98,0,5,0,3
7,3023,4195,2711,1240,1312,137,5,14,3,0
7,3035,4203,3209,1476,1546,154,0,32,0,1
7,3047,3828,2824,1203,1434,164,0,22,0,1
7,3058,4881,3539,1601,1719,186,0,24,3,6
7,3072,3508,2291,1047,1112,118,0,12,0,2
7,3081,1401,1010,453,501,46,0,10,0,0
7,3085,4904,3536,1605,1726,176,1,26,0,2
7,3099,2793,1959,932,902,99,0,26,0,0
7,3107,4557,3161,1410,1576,144,2,22,0,7
7,3120,3503,2397,1062,1190,123,2,20,0,0
7,3130,3148,2208,1016,1065,108,1,18,0,0
7,3139,3496,2354,1049,1162,115,0,28,0,0
7,3149,4187,2966,1494,1348,104,0,20,0,0
7,3161,2440,1714,855,768,73,0,18,0,0
7,3168,4540,3300,1558,1546,148,1,45,1,1
7,3177,4188,2956,1479,1325,134,1,16,0,1
7,3189,5569,3955,1906,1829,181,0,36,1,2
7,3205,1738,1234,614,544,66,0,9,0,1
7,3210,3771,2804,1220,1394,156,6,26,0,2
7,3221,2402,1730,737,902,80,0,11,0,0
7,3228,3761,2714,1160,1381,146,0,27,0,0
7,3239,1722,1128,496,569,58,0,5,0,0
7,3243,2096,1572,674,803,74,0,21,0,0
7,3253,4545,3382,1523,1644,175,2,37,0,1
7,3266,5596,3488,1445,1763,247,1,32,0,0
7,3281,2795,1750,747,883,96,2,21,0,1
7,3289,4188,2682,1117,1370,168,1,26,0,0
7,3301,4548,2898,1255,1430,168,0,45,0,0
7,3314,3146,2042,859,1025,121,3,32,0,2
7,3323,3486,2139,889,1076,145,5,18,6,0
7,3333,4184,2665,1107,1347,165,0,43,1,2
8,3345,2449,1582,737,741,88,1,10,0,5
8,3352,3140,2091,1004,946,118,4,18,0,1
8,3361,3494,2237,994,1079,150,0,13,1,0
8,3371,2438,1593,780,711,86,0,16,0,0
8,3378,3497,2279,1081,1059,127,0,11,0,1
8,3388,3496,2237,998,1084,126,0,24,0,5
8,3398,3495,2311,1000,1116,168,0,27,0,0
8,3408,3492,2249,1045,1054,125,2,18,0,5
8,3418,4167,2591,1131,1269,155,1,34,0,1
8,3429,3139,2176,1081,980,106,0,9,0,0
8,3437,4192,3062,1545,1338,155,0,22,0,2
8,3449,4890,3316,1638,1468,176,3,29,0,2
8,3456,5934,3989,1960,1788,198,6,36,0,1
